Diode,Best Distribution,p-value,Mean,Standard Deviation,Distribution Parameters,Product,Standard Deviation Product,Relative Error (%)
IN4007,norm,0.149504158109802,21.3409477323773,0.26730450421665103,"21.3409, 0.2673",11723.641465579176,434.59340772729576,1.0265255682945609
IN60P,norm,0.8650161501242511,29.43234377550812,0.441929292177909,"29.4323, 0.4419",12693.922796314233,705.0801673048861,9.387763154393113
6A10,norm,0.2457806362934577,20.174479818717906,0.29880458401839927,"20.1745, 0.2988",11943.257519183804,371.25640650174796,2.919030292175574
ZY160,norm,0.4926519576234585,27.82300531023174,0.4502382490954717,"27.8230, 0.4502",12530.26250318898,836.6537933125693,7.977447866564058
PR1007,norm,0.7585360215439696,20.950379463339058,0.30401737613214325,"20.9504, 0.3040",12203.010566505507,427.31841846300324,5.157408867103449
